Gene1	Gene2	Weight
MT-ND5	NDUFAB1	1
LRRC8B	LRRC8A	1
ATP5PO	ATP5IF1	1
MRPL49	MRPL21	1
SMARCA5	MTA2	1
TAF12	SMARCA2	1
SF3B1	PDCD7	1
SNRPB	ZRSR2	1
RBBP4	NASP	1
ING2	SAP30	1
RPL37A	RPS14	1
RPL7	RPL30	1
PRPF4	ESS2	1
DOCK7	WASHC4	1
SMC2	SMC4	1
MED27	MED6	1
NFKBIA	NFKB2	1
NCOA2	IKBKG	1
RBBP7	EED	1
CCT2	CCT8	1
EFTUD2	SNRPA1	1
SNRPF	SF3B5	1
ZCRB1	SNRNP35	1
KPTN	SZT2	1
MAGOH	CASC3	1
PIGK	GPAA1	1
NDUFC2	NDUFB8	1
KPTN	ITFG2	1
KAT14	YEATS2	1
ASF1A	NASP	1
RPL32	RPL28	1
FBXW11	POLR1G	1
HNRNPU	RPL26	1
E2F4	CCNE1	1
MED13L	MED6	1
OS9	SYVN1	1
MRPL28	MRPL17	1
SF3B5	RNPC3	1
RPL19	RPL14	1
CRK	RAPGEF1	1
INO80D	ACTR5	1
NDUFC2	MT-ND4	1
CDKN1A	CDK1	1
POLR2L	POLR1A	1
MED21	MED10	1
IARS1	EPRS1	1
RUVBL2	KAT5	1
CPSF7	DHX16	1
RREB1	ZEB2	1
MT-ND5	NDUFB1	1
SPC24	SPC25	1
AP3B2	BLOC1S2	1
RFC1	PRIM1	1
RPL37A	RPS23	1
RPL11	RPLP1	1
CDK1	POLE	1
WDR61	TTC37	1
RPS4X	RPL9P8	1
SF3B1	SMARCA5	1
ASB9	ELOB	1
RPL14	RPS4Y1	1
SNRNP35	RNPC3	1
CBX4	ZEB1	1
GNB1	KCTD12	1
PRPF6	SNRPD3	1
SF3B4	SF3A1	1
NDUFB7	NDUFB6	1
FADD	RIPK1	1
MED13	MED11	1
ZCRB1	PDCD7	1
ATP5F1A	ATP5IF1	1
RPL13	RPL11	1
TRAPPC1	TRAPPC11	1
RPL7	RPL7A	1
CDC5L	CWC15	1
MED20	MED13	1
RPL36	RPL13	1
SF3B2	SNRNP25	1
SNRPE	ZRSR2	1
NEK8	ANKS6	1
CRNKL1	LSM2	1
AP5Z1	AP5M1	1
NDUFC2	NDUFB6	1
INTS7	INTS3	1
SYNCRIP	RPL13A	1
TRAPPC12	TRAPPC11	1
RARS1	DARS1	1
MED10	MED11	1
ZMYM2	RCOR3	1
VPS8	VPS16	1
SLC9A3R1	PLCB3	1
ZMAT5	SF3B4	1
PRPF8	PDCD7	1
DROSHA	RALY	1
PARP1	RPA1	1
POLR2D	POLR2H	1
HDAC1	SAP130	1
GLMN	FBXW8	1
SRSF5	AQR	1
CXXC1	SETD1B	1
ZNF516	ZEB1	1
RELB	REL	1
TFIP11	PRPF31	1
