UniProt1	UniProt2	Weight
Q13084	Q9NRX2	1
Q9BWJ5	Q96LT9	1
P84098	P50914	1
P46108	Q13905	1
Q53TQ3	Q9H9F9	1
O95298	P03905	1
P38936	P06493	1
P62875	O95602	1
Q13503	Q9BTT4	1
P41252	P07814	1
Q9Y230	Q92993	1
Q8N684	O60231	1
Q92766	O60315	1
P03915	O75438	1
Q8NBT2	Q9HBM1	1
Q13367	Q6QNY1	1
P35251	P49642	1
P61513	P62266	1
P62913	P05386	1
P06493	Q07864	1
Q9GZS3	Q6PGP7	1
P62701	P32969	1
O75533	O60264	1
Q96DX5	Q15370	1
P50914	P22090	1
Q16560	Q96LT9	1
O00257	P37275	1
P62873	Q96CX2	1
O94906	P62318	1
Q15427	Q15459	1
P17568	O95139	1
Q13158	Q13546	1
Q9UHV7	Q9P086	1
Q8TBF4	Q8N8D1	1
P25705	Q9UII2	1
P26373	P62913	1
Q9Y5R8	Q7Z392	1
P18124	P62424	1
Q99459	Q9P013	1
Q9H944	Q9UHV7	1
Q9Y3U8	P26373	1
Q13435	Q9BV90	1
P62304	Q15696	1
Q86SG6	Q68DC2	1
Q9BZJ0	Q9Y333	1
O43299	Q9H0R1	1
O95298	O95139	1
Q9NVH2	Q68E01	1
O60506	P40429	1
Q8WVT3	Q7Z392	1
P54136	P14868	1
Q9BTT4	Q9P086	1
Q9UBW7	Q9P2K3	1
Q8N3P4	Q9H269	1
O14745	Q01970	1
Q9UDW3	Q15427	1
Q6P2Q9	Q8N8D1	1
Q9NRR4	Q9UKM9	1
P09874	P27694	1
O15514	P52434	1
Q13547	Q9H0E3	1
Q92990	Q8N3Y1	1
Q13243	O60306	1
Q9P0U4	Q9UPS6	1
Q92618	P37275	1
Q01201	Q04864	1
Q9UBB9	Q8WWY3	1
P46108	P22681	1
O75971	Q13487	1
Q9NX20	Q7Z2W9	1
P62888	Q9HCE1	1
P51970	O95139	1
O75818	P78345	1
P16989	P06748	1
Q6P2C8	O60244	1
Q9UKZ1	A5YKK6	1
O43676	O14561	1
P14678	Q96LT9	1
